band,center_wavelength,bandwidth,band_description,common_name,gsd,snr
B1,442.7,20,Aerosols,coastal,60,129
B2,492.7,64,Blue,blue,10,154
B3,559.8,35,Green,green,10,168
B4,664.6,30,Red,red,10,142
B5,704.1,14,Red Edge 1,rededge071,20,117
B6,740.5,14,Red Edge 2,rededge075,20,89
B7,782.8,20,Red Edge 3,rededge078,20,105
B8,832.8,118,NIR,nir,10,174
B8A,864.7,20,Narrow NIR,nir08,20,72
B9,945.1,20,Water Vapour,nir09,60,114
B10,1373.5,30,Cirrus,cirrus,60,50
B11,1613.7,88,SWIR 1,swir16,20,100
B12,2202.4,179,SWIR 2,swir22,20,100